Family,Genus,Sp1,TaxStat,Accepted,Ecology
Poaceae,Brizopyrum,sp.,Genus level,,
Iridaceae,Moraea,neopavonia,Synonym,Moraea tulbaghensis L.Bolus,Indigenous
Acanthaceae,Crossandra,zuluensis,Accepted,,Indigenous
Euphorbiaceae,Euphorbia,striata,Accepted,,Indigenous
Ericaceae,Erica,sonderiana,Accepted,,Indigenous; Endemic
Malvaceae,Hibiscus,upingtoniae,Accepted,,Indigenous
Gesneriaceae,Streptocarpus,primulifolius,Synonym,Streptocarpus formosus (Hilliard & B.L.Burtt) T.J.Edwards,Indigenous; Endemic
Asphodelaceae,Aloe,margaritifera,Synonym,Tulista pumila (L.) G.D.Rowley,Indigenous
Asteraceae,Seriphium,saxatilis,Accepted,,Indigenous; Endemic
Aizoaceae,Lampranthus,littlewoodii,Synonym,Lampranthus esterhuyseniae L.Bolus,Indigenous; Endemic
Thymelaeaceae,Lachnaea,elegans,Synonym,Lachnaea striata (Lam.) Meisn.,Indigenous
Iridaceae,Ferraria,ornata,Accepted,,Indigenous
Asteraceae,Othonna,cymbalarifolia,Synonym,Senecio cymbalariifolius (L.) Less.,Indigenous
Lamiaceae,Isodon,calycinus,Synonym,Rabdosiella calycina (Benth.) Codd,Indigenous
Acanthaceae,Acanthopsis,carduifolia,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,cyanea,Synonym,Haworthia decipiens Poelln. var. cyanea M.B.Bayer,Indigenous
Poaceae,Rendlia,altera,Accepted,,Indigenous
Zamiaceae,Encephalartos,ngoyanus,Accepted,,Indigenous
Aspleniaceae,Asplenium,obscurum,Accepted,,Indigenous
Aizoaceae,Dracophilus,proximus,Synonym,Dracophilus dealbatus (N.E.Br.) Walgate,Indigenous
Asphodelaceae,Aloe,reynoldsii,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,eilyae,Synonym,Haworthiopsis glauca (Baker) G.D.Rowley var. herrei (Poelln.) G.D.Rowley,Indigenous
Poaceae,Phragmites,mauritianus,Accepted,,Indigenous
Amaryllidaceae,Gemmaria,mathewsii,Synonym,Hessea mathewsii W.F.Barker,Indigenous
Oleaceae,Olea,subtrinervata,Synonym,Olea europaea L. subsp. cuspidata (Wall. ex G.Don) Cif.,
Poaceae,Panicum,lanipes,Accepted,,Indigenous
Aizoaceae,Erepsia,ramosa,Accepted,,Indigenous; Endemic
Asteraceae,Nidorella,auriculata,Accepted,,Indigenous
Acanthaceae,Petalidium,sp.,Genus level,,
Lobeliaceae,Lobelia,incisa,Synonym,Cyphia incisa (Thunb.) Willd.,Indigenous
Asteraceae,Osteospermum,moniliferum,Accepted,,Indigenous
Poaceae,Trisetum,hirtulum,Synonym,Trisetopsis hirtula (Steud.) Roser & A.Wolk,Indigenous
Lejeuneaceae,Cololejeunea,oleana,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,hexamera,Synonym,Antimima paripetala (L.Bolus) Klak,Indigenous
Fabaceae,Bolusia,capensis,Synonym,Bolusia acuminata (DC.) Polhill,Indigenous
Scrophulariaceae,Chaenostoma,cordatum,Accepted,,Indigenous; Endemic
Cyperaceae,Carex,ludwigii,Accepted,,Indigenous
Didiereaceae,Ceraria,sp.,Genus level,,
Asteraceae,Tridax,procumbens,Accepted,,Not indigenous; Naturalised
Myrtaceae,Syzygium,cordatum,Accepted,,Indigenous
Asphodelaceae,Gasteria,chamaegigas,Synonym,Gasteria bicolor Haw. var. bicolor,Present
Fabaceae,Aspalathus,laricifolia,Synonym,Aspalathus uniflora L.,
Asteraceae,Oedera,rotundifolia,Accepted,,Indigenous; Endemic
Hypoxidaceae,Pauridia,gracilipes,Inclusive,,Indigenous; Endemic
Bignoniaceae,Rhigozum,zambesiacum,Accepted,,Indigenous
Proteaceae,Leucadendron,nitidum,Accepted,,Indigenous; Endemic
Penaeaceae,Stylapterus,barbatus,Accepted,,Indigenous; Endemic
Thymelaeaceae,Lachnaea,burchellii,Accepted,,Indigenous; Endemic
Asteraceae,Anthemis,sp.,Genus level,,
Aizoaceae,Psilocaulon,fimbriatum,Synonym,Mesembryanthemum salicornioides Pax,Present
Acanthaceae,Barleria,prionitis,Synonym,Barleria delagoensis Oberm.,Indigenous
Orobanchaceae,Buttonia,natalensis,Accepted,,Indigenous
Lobeliaceae,Cyphia,latipetala,Accepted,,Indigenous; Endemic
Fabaceae,Lotononis,maximiliani,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,linearis,Synonym,Lobelia linearis Thunb.,Indigenous
Lobeliaceae,Monopsis,corymbosa,Synonym,Lobelia jasionoides (A.DC.) E.Wimm.,Indigenous
Tamaricaceae,Tamarix,angolensis,Synonym,Tamarix usneoides E.Mey. ex Bunge,Indigenous
Poaceae,Pentameris,clavata,Accepted,,Indigenous
Iridaceae,Geissorhiza,foliosa,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,macrocarpa,Accepted,,Indigenous; Endemic
Tecophilaeaceae,Cyanella,orchidiformis,Accepted,,Indigenous; Endemic
Apiaceae,Centella,pottebergensis,Accepted,,Indigenous; Endemic
Aizoaceae,Lithops,olivacea,Accepted,,Indigenous; Endemic
Poaceae,Helictotrichon,hirtulum,Synonym,Trisetopsis hirtula (Steud.) Roser & A.Wolk,Indigenous
Boraginaceae,Amsinckia,menziesii,Accepted,,Not indigenous; Naturalised; Invasive
Ericaceae,Simocheilus,globiferus,Synonym,Erica glabella Thunb. subsp. laevis E.G.H.Oliv.,Indigenous
Asphodelaceae,Haworthia,florens,Synonym,Haworthia cooperi Baker var. isabellae (Poelln.) M.B.Bayer,Indigenous
Dryopteridaceae,Polystichum,incongruum,Accepted,,Indigenous; Endemic
Hypoxidaceae,Ianthe,serrata,Synonym,Pauridia serrata (Thunb.) Snijman & Kocyan,Indigenous
Brassicaceae,Cheiranthus,carnosus,Synonym,Heliophila carnosa (Thunb.) Steud.,
Leucobryaceae,Campylopus,carolinae,Accepted,,Indigenous
Poaceae,Urelytrum,agropyroides,Accepted,,Indigenous
Xyridaceae,Xyris,obscura,Accepted,,Indigenous
Proteaceae,Paranomus,candicans,Accepted,,Indigenous; Endemic
Apocynaceae,Dichaelia,distincta,Synonym,Ceropegia elongata (Schltr.) Bruyns,Indigenous
Asteraceae,Relhania,resinifera,Synonym,Oedera resinifera (K.Bremer) Anderb. & K.Bremer,Indigenous
Zamiaceae,Encephalartos,transvenosus,Accepted,,Indigenous; Endemic
Hyacinthaceae,Massonia,calvata,Accepted,,Indigenous
Fabaceae,Trifolium,incarnatum,Accepted,,Not indigenous; Naturalised
Aizoaceae,Orthopterum,coegana,Accepted,,Indigenous; Endemic
Rutaceae,Agathosma,juniperifolia,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,rawei,Synonym,Conophytum longum N.E.Br.,Present
Asphodelaceae,Kniphofia,acraea,Accepted,,Indigenous; Endemic
Orchidaceae,Solenangis,sp.,Genus level,,
Velloziaceae,Xerophyta,elegans,Accepted,,Indigenous; Endemic
Fabaceae,Aspalathus,linearis,Accepted,,Indigenous; Endemic
Asteraceae,Oncosiphon,pilulifer,Accepted,,Indigenous
Apocynaceae,Quaqua,parviflora,Accepted,,Indigenous; Endemic
Fabaceae,Tephrosia,purpurea,Inclusive,,Indigenous
Asphodelaceae,Haworthia,schmidtiana,Synonym,Haworthiopsis nigra (Haw.) G.D.Rowley var. nigra,Indigenous
Iridaceae,Romulea,autumnalis,Accepted,,Indigenous; Endemic
Ericaceae,Erica,langebergensis,Accepted,,Indigenous; Endemic
Crassulaceae,Tylecodon,ellaphieae,Accepted,,Indigenous; Endemic
Dioscoreaceae,Dioscorea,buchananii,Accepted,,Indigenous; Endemic
Hyacinthaceae,Albuca,chartacea,Accepted,,Indigenous; Endemic
Scrophulariaceae,Zaluzianskya,glandulosa,Accepted,,Indigenous; Endemic
Asteraceae,Xeranthemum,rigidum,Synonym,Achyranthemum striatum (Thunb.) N.G.Bergh,Indigenous
Rubiaceae,Galium,subvillosum,Inclusive,,Indigenous
Molluginaceae,Hypertelis,bowkeriana,Synonym,Kewa bowkeriana (Sond.) Christenh.,Indigenous
Ericaceae,Erica,tenax,Synonym,Erica thomae L.Bolus,Indigenous
Asteraceae,Gerbera,tomentosa,Synonym,Gerbera tomentosa DC.,Indigenous
Asteraceae,Helichrysum,lineatum,Accepted,,Indigenous
Asteraceae,Arctotis,sulcocarpa,Accepted,,Indigenous; Endemic
Alliaceae,Tulbaghia,fragrans,Synonym,Tulbaghia simmleri P.Beauv.,Indigenous
Asteraceae,Senecio,waterbergensis,Accepted,,Indigenous; Endemic
Asphodelaceae,Bulbine,louwii,Accepted,,Indigenous; Endemic
Santalaceae,Thesium,occidentale,Accepted,,Indigenous; Endemic
Anacardiaceae,Searsia,rehmanniana,Accepted,,Indigenous
Asteraceae,Comborhiza,longipes,Synonym,Oedera longipes (K.Bremer) N.G.Bergh,Indigenous; Endemic
Orchidaceae,Disa,atricapilla,Accepted,,Indigenous; Endemic
Orobanchaceae,Hyobanche,thinophila,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,stenopetala,Accepted,,Indigenous; Endemic
Iridaceae,Dietes,butcheriana,Accepted,,Indigenous; Endemic
Rubiaceae,Kohautia,microflora,Accepted,,Indigenous
Asteraceae,Metalasia,phillipsii,Accepted,,Indigenous; Endemic
Amaryllidaceae,Cyrtanthus,guthrieae,Accepted,,Indigenous; Endemic
Vitaceae,Ampelocissus,sp.,Genus level,,
Oxalidaceae,Oxalis,monophylla,Accepted,,Indigenous; Endemic
Acanthaceae,Monechma,debile,Synonym,Justicia debilis (Forssk.) Vahl,Indigenous
Aizoaceae,Mesembryanthemum,pallescens,Synonym,Mesembryanthemum pallens Aiton subsp. pallens,Present
Thymelaeaceae,Englerodaphne,sp.,Genus level,,
Acanthaceae,Blepharis,stainbankiae,misap,Blepharis stainbankiae C.B.Clarke,
Iridaceae,Moraea,tricuspidata,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,leptanthum,Synonym,Conophytum jucundum (N.E.Br.) N.E.Br. subsp. marlothii (N.E.Br.) S.A.Hammer,Present
Hyacinthaceae,Albuca,caudata,Accepted,,Indigenous; Endemic
Acanthaceae,Siphonoglossa,leptantha,Synonym,Justicia tubulosa (E.Mey. ex Nees) T.Anderson subsp. late-ovata (C.B.Clarke) J.C.Manning & Goldblatt,Indigenous; Endemic
Acanthaceae,Duvernoia,sp.,Genus level,,
Aizoaceae,Mesembryanthemum,haworthii,Synonym,Lampranthus zeyheri (Salm-Dyck) N.E.Br.,
Geraniaceae,Pelargonium,ensatum,Synonym,Pelargonium auritum (L.) Willd. var. carneum (Harv.) E.M.Marais,Indigenous
Scrophulariaceae,Sutera,griquensis,Accepted,,Indigenous; Endemic
Martyniaceae,Proboscidea,fragrans,Synonym,Proboscidea louisianica (Mill.) Thell. subsp. fragrans (Lindl.) Bretting,Not indigenous; Naturalised
Thymelaeaceae,Lasiosiphon,triplinervis,Accepted,,Indigenous; Endemic
Apocynaceae,Asclepias,dregeana,Synonym,Asclepias fulva N.E.Br.,Indigenous
Aizoaceae,Mesembryanthemum,longistylum,Accepted,,Indigenous; Endemic
Convolvulaceae,Ipomoea,oenotheroides,Accepted,,Indigenous
Aizoaceae,Aridaria,watermeyeri,Synonym,Mesembryanthemum spinuliferum Haw.,Indigenous
Menispermaceae,Cissampelos,torulosa,Accepted,,Indigenous
Thelypteridaceae,Lastrea,gueintziana,Synonym,Christella gueintziana (Mett.) Holttum,Indigenous
Colchicaceae,Colchicum,sp.,Genus level,,
Lobeliaceae,Lobelia,leptocarpa,Synonym,Lobelia thermalis Thunb.,
Ruscaceae,Eriospermum,lanuginosum,Accepted,,Indigenous; Endemic
Poaceae,Leptochloa,fusca,Accepted,,Indigenous
Campanulaceae,Wahlenbergia,rubioides,Inclusive,,Indigenous; Endemic
Apocynaceae,Piaranthus,pallidus,Synonym,Piaranthus geminatus (Masson) N.E.Br. subsp. decorus (Masson) Bruyns,Present
Apocynaceae,Quaqua,incarnata,Accepted,,Indigenous; Endemic
Asteraceae,Gymnopentzia,bifurcata,Accepted,,Indigenous
Cyperaceae,Tetraria,cuspidata,Synonym,Schoenus cuspidatus Rottb.,Indigenous
Fabaceae,Erythrina,crista-galli,Accepted,,Not indigenous; Naturalised
Rubiaceae,Fadogia,tetraquetra,Accepted,,Indigenous
Asteraceae,Senecio,glutinarius,Accepted,,Indigenous; Endemic
Apocynaceae,Pachycymbium,rogersii,Synonym,Orbea rogersii (L.Bolus) Bruyns,Indigenous
Polygalaceae,Muraltia,angulosa,Accepted,,Indigenous; Endemic
Asphodelaceae,Tulista,congesta,Synonym,Astroloba congesta (Salm-Dyck) Uitewaal,Indigenous
Amaranthaceae,Sericocoma,bainesii,Synonym,Leucosphaera bainesii (Hook.f.) Gilg,Indigenous
Asteraceae,Vernonia,obionifolia,Synonym,"Namibithamnus obionifolius (O.Hoffm.) H.Rob., Skvarla & V.A.Funk",Indigenous
Asparagaceae,Asparagus,plumosus,Accepted,,Indigenous
Geraniaceae,Pelargonium,nervifolium,Accepted,,Indigenous; Endemic
Asteraceae,Amellus,strigosus,Accepted,,Indigenous; Endemic
Aizoaceae,Octopoma,inclusum,Synonym,Schlechteranthus inclusus (L.Bolus) R.F.Powell,Indigenous; Endemic
Euphorbiaceae,Dalechampia,capensis,Accepted,,Indigenous
Asteraceae,Gazania,krebsiana,Accepted,,Indigenous
Ericaceae,Erica,setacea,Accepted,,Indigenous; Endemic
Sapindaceae,Allophylus,gazensis,Synonym,Allophylus chaunostachys Gilg,
Apiaceae,Annesorhiza,grandiflora,Accepted,,Indigenous; Endemic
Aneuraceae,Riccardia,fastigiata,Accepted,,Indigenous
Rutaceae,Diosma,sabulosa,Accepted,,Indigenous; Endemic
Lamiaceae,Leonotis,glabrata,Inclusive,,Indigenous
Crassulaceae,Crassula,plegmatoides,Accepted,,Indigenous
Aizoaceae,Eberlanzia,vanheerdei,Synonym,Leipoldtia alborosea (L.Bolus) H.E.K.Hartmann & Stuber,Present
Aizoaceae,Faucaria,grandis,Synonym,Faucaria britteniae L.Bolus,Indigenous
Convolvulaceae,Convolvulus,capensis,Synonym,Convolvulus capensis Burm.f.,Present
Hyacinthaceae,Albuca,shawii,Accepted,,Indigenous
Acanthaceae,Ruellia,patula,Accepted,,Indigenous
Iridaceae,Ixia,neglecta,Synonym,Romulea speciosa (Ker Gawl.) Baker,Indigenous
Roridulaceae,Roridula,gorgonias,Accepted,,Indigenous; Endemic
Pottiaceae,Syntrichia,papillosa,Accepted,,Indigenous
Fabaceae,Lotononis,corymbosa,Synonym,Leobordea corymbosa (E.Mey.) B.-E.van Wyk & Boatwr.,Indigenous
Solanaceae,Solanum,rigescens,Synonym,Solanum rubetorum Dunal,Indigenous
Rubiaceae,Ancylanthos,sp.,Genus level,,
Brachytheciaceae,Palamocladium,leskeoides,Accepted,,Indigenous
Limeaceae,Limeum,aethiopicum,Accepted,,Indigenous; Endemic
Thuidiaceae,Pelekium,versicolor,Accepted,,Indigenous
Asteraceae,Tarchonanthus,littoralis,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,aurioliae,Accepted,,Indigenous; Endemic
Aizoaceae,Nycteranthus,congestus,Synonym,Mesembryanthemum flavidum Klak,Indigenous
Capparaceae,Boscia,albitrunca,Accepted,,Indigenous
Geraniaceae,Pelargonium,angustipetalum,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,subspicata,Accepted,,Indigenous
Poaceae,Panicum,mesocomum,Synonym,Leucophrys mesocoma (Nees) Rendle,Indigenous
Aizoaceae,Aizoon,sarmentosum,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,stellatus,Accepted,,Indigenous; Endemic
Myrsinaceae,Lysimachia,ruhmeriana,Accepted,,Indigenous
Aizoaceae,Conophytum,luisae,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. altum (L.Bolus) S.A.Hammer,Present
Linderniaceae,Lindernia,dongolensis,Synonym,Lindernia monroi (S.Moore) Eb.Fisch.,Indigenous
Amaryllidaceae,Brunsvigia,comptonii,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,burmannii,Synonym,Euphorbia burmannii (Klotzsch & Garcke) E.Mey. ex Boiss.,
Didiereaceae,Portulacaria,pygmaea,Accepted,,Indigenous
Asteraceae,Arctotis,stoechadifolia,Synonym,Arctotis stoechadifolia P.J.Bergius,Indigenous
Asphodelaceae,Haworthia,rubriflora,Synonym,Astroloba rubriflora (L.Bolus) Gideon F.Sm. & J.C.Manning,Indigenous
Apocynaceae,Quaqua,arenicola,Accepted,,Indigenous; Endemic
Anacardiaceae,Searsia,erosa,Accepted,,Indigenous
Orchidaceae,Satyrium,aculeatum,Synonym,Orthochilus aculeatus (L.f.) Bytebier,Indigenous
Droseraceae,Drosera,curviscapa,Synonym,Drosera esterhuyseniae (T.M.Salter) Debbert,Indigenous
Lamiaceae,Cedronella,sp.,Genus level,,
Anacardiaceae,Searsia,scytophylla,Accepted,,Indigenous; Endemic
Crassulaceae,Crassula,argyrophylla,Synonym,Crassula swaziensis Schonland,Present
Acanthaceae,Asystasia,stenosiphon,Synonym,Salpinctium stenosiphon (C.B.Clarke) T.J.Edwards,
Tropaeolaceae,Tropaeolum,speciosum,Accepted,,Not indigenous; Naturalised; Invasive
Hyacinthaceae,Drimia,fasciata,Accepted,,Indigenous
Aizoaceae,Ruschia,alata,Accepted,,Indigenous; Endemic
Fabaceae,Arachis,sp.,Genus level,,
Asphodelaceae,Gasteria,acinacifolia,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,canaliculatum,Accepted,,Indigenous; Endemic
Fabaceae,Otholobium,curtisiae,Accepted,,Indigenous; Endemic
Juncaceae,Juncus,pictus,Accepted,,Indigenous; Endemic
Fabaceae,Mucuna,pruriens,Accepted,,Indigenous
Aizoaceae,Ruschia,aristata,Synonym,Erepsia aristata (L.Bolus) Liede & H.E.K.Hartmann,Indigenous
Iridaceae,Moraea,longiaristata,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,fragrans,Accepted,,Indigenous; Endemic
Fabaceae,Virgilia,oroboides,Inclusive,,Indigenous
Fabaceae,Crotalaria,prolifera,Synonym,Leobordea prolifera (E.Mey.) Eckl. & Zeyh.,Indigenous
Lejeuneaceae,Acanthocoleus,sp.,Genus level,,
Aizoaceae,Lampranthus,subtruncatus,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,simplum,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Hyacinthaceae,Albuca,rupestris,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,citriceps,Accepted,,Indigenous; Endemic
Amaranthaceae,Arthrocnemum,indicum,Synonym,Tecticornia indica (Willd.) K.A.Sheph. & Paul G.Wilson,Indigenous
Rhizophoraceae,Cassipourea,flanaganii,Accepted,,Indigenous; Endemic
Amaranthaceae,Cyathula,hereroensis,Synonym,Cyathula lanceolata Schinz,
Asteraceae,Euryops,annae,Accepted,,Indigenous
Entodontaceae,Erythrodontium,sp.,Genus level,,
Aizoaceae,Malephora,ochracea,Accepted,,Indigenous; Endemic
Polygalaceae,Polygala,macowaniana,Accepted,,Indigenous; Endemic
Montiniaceae,Montinia,caryophyllacea,Accepted,,Indigenous
Dennstaedtiaceae,Hypolepis,capitellum,Synonym,Ficinia capitella (Thunb.) Nees,Indigenous
Lythraceae,Heimia,myrtifolia,Accepted,,Not indigenous; Naturalised; Invasive
Lindsaeaceae,Lindsaea,ensifolia,Inclusive,,Indigenous
Malvaceae,Modiola,sp.,Genus level,,
Funariaceae,Physcomitrellopsis,africana,Accepted,,Indigenous; Endemic
Ericaceae,Erica,recta,Accepted,,Indigenous; Endemic
Menyanthaceae,Villarsia,sp.,Genus level,,
Leucobryaceae,Campylopus,bequaertii,Synonym,Campylopus savannarum (Mull.Hal.) Mitt.,Indigenous
Geraniaceae,Pelargonium,transvaalense,Accepted,,Indigenous; Endemic
Malvaceae,Malva,verticillata,Accepted,,Not indigenous; Naturalised
Rutaceae,Agathosma,bathii,Accepted,,Indigenous; Endemic
Iridaceae,Romulea,komsbergensis,Accepted,,Indigenous; Endemic
Colchicaceae,Colchicum,burkei,Accepted,,Indigenous
Colchicaceae,Gloriosa,modesta,Accepted,,Indigenous
Santalaceae,Thesium,pottiae,Synonym,Thesium multiramulosum Pilg.,Indigenous
Ericaceae,Erica,onusta,Accepted,,Indigenous; Endemic
Amaryllidaceae,Gemmaria,pulcherrima,Synonym,Hessea pulcherrima (D.Mull.-Doblies & U.Mull.-Doblies) Snijman,Indigenous
Santalaceae,Thesium,lacinulatum,Accepted,,Indigenous
Hyacinthaceae,Geschollia,prolifera,Accepted,,Indigenous; Endemic
Ebenaceae,Diospyros,whyteana,Accepted,,Indigenous
Amaryllidaceae,Cyrtanthus,mackenii,Synonym,Cyrtanthus mackenii Hook.f. subsp. mackenii,Indigenous; Endemic
Poaceae,Setaria,megaphylla,Accepted,,Indigenous
Zygophyllaceae,Tetraena,rigida,Accepted,,Indigenous
Moraceae,Ficus,sansibarica,Inclusive,,Indigenous
Asphodelaceae,Haworthia,angustifolia,Accepted,,Indigenous; Endemic
Fabaceae,Eriosema,pauciflorum,Accepted,,Indigenous
Amaranthaceae,Hermbstaedtia,transvaalensis,Synonym,Hermbstaedtia odorata (Burch.) T.Cooke var. odorata,
Apiaceae,Lichtensteinia,latifolia,Accepted,,Indigenous; Endemic
Orthotrichaceae,Codonoblepharon,menziesii,Accepted,,Indigenous
Asphodelaceae,Haworthia,reinwardtii,Synonym,Hesperantha coarctata (Haw.) G.D.Rowley var. coarctata,Indigenous
Geraniaceae,Monsonia,vanderietiae,Accepted,,Indigenous; Endemic
Apiaceae,Centella,cochlearia,Accepted,,Indigenous; Endemic
Polygalaceae,Muraltia,karroica,Accepted,,Indigenous; Endemic
Hyacinthaceae,Drimia,hyacinthoides,Accepted,,Indigenous; Endemic
Ericaceae,Erica,esteriana,Accepted,,Indigenous; Endemic
Cyperaceae,Abildgaardia,hispidula,Synonym,Bulbostylis hispidula (Vahl) R.W.Haines subsp. pyriformis (Lye) R.W.Haines,Indigenous
Aizoaceae,Conophytum,pearsonii,Synonym,Conophytum minutum (Haw.) N.E.Br. var. pearsonii (N.E.Br.) Boom,
Asteraceae,Metalasia,pulcherrima,Accepted,,Indigenous; Endemic
Geraniaceae,Pelargonium,curviandrum,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,minutum,Synonym,Conophytum minutum (Haw.) N.E.Br. var. minutum,Present
Aizoaceae,Amphibolia,littlewoodii,Synonym,Ruschia mutata G.D.Rowley,Present
Asteraceae,Arctotheca,prostrata,Accepted,,Indigenous; Endemic
Amaranthaceae,Dysphania,multifida,Accepted,,Not indigenous; Naturalised; Invasive
Loranthaceae,Septulina,glauca,Accepted,,Indigenous
Apocynaceae,Gonostemon,baylissii,Synonym,Stapelia hirsuta L. var. baylissii (L.C.Leach) Bruyns,Indigenous
Thymelaeaceae,Lachnaea,pudens,Accepted,,Indigenous; Endemic
Acanthaceae,Monechma,bracteatum,Synonym,Justicia bracteata (Hochst.) Zarb,Indigenous
Hyacinthaceae,Drimia,cremnophila,Synonym,Drimia cyanelloides (Baker) J.C.Manning & Goldblatt,Indigenous; Endemic
Rutaceae,Agathosma,betulina,Accepted,,Indigenous; Endemic
Lejeuneaceae,Lopholejeunea,fragilis,Synonym,Lopholejeunea nigricans (Lindenb.) Schiffn.,Indigenous
Aizoaceae,Delosperma,inconspicuum,Accepted,,Indigenous; Endemic
Hyacinthaceae,Urgineopsis,exilis,Synonym,Drimia dregei (Baker) J.C.Manning & Goldblatt,Indigenous
Asteraceae,Gnaphalium,confine,Accepted,,Indigenous
Begoniaceae,Begonia,sutherlandii,Accepted,,Indigenous
Araceae,Epipremnum,aureum,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Asteraceae,Cotula,sp.,Genus level,,
Fabaceae,Lessertia,affinis,Accepted,,Indigenous; Endemic
Hyacinthaceae,Trimelopter,unifolium,Synonym,Albuca unifolia (Retz.) J.C.Manning & Goldblatt,Indigenous
Fabaceae,Decorsea,sp.,Genus level,,
Iridaceae,Gladiolus,comptonii,Accepted,,Indigenous; Endemic
Malvaceae,Hermannia,comosa,Accepted,,Indigenous
Asteraceae,Pteronia,succulenta,Accepted,,Indigenous; Endemic
Asteraceae,Gymnanthemum,crataegifolium,Accepted,,Indigenous
Colchicaceae,Colchicum,exiguum,Inclusive,,Indigenous
Amaryllidaceae,Amaryllis,striata,Synonym,Brunsvigia striata (Jacq.) W.T.Aiton,Indigenous
Aizoaceae,Mesembryanthemum,karrooense,Synonym,Mesembryanthemum guerichianum Pax,Indigenous
Fabaceae,Aspalathus,cinerascens,Accepted,,Indigenous; Endemic
Asteraceae,Macledium,relhanioides,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,confusum,Accepted,,Indigenous; Endemic
Limeaceae,Limeum,aethiopicum,Accepted,,Indigenous; Endemic
Woodsiaceae,Woodsia,sp.,Genus level,,
Apocynaceae,Ceropegia,occulta,Accepted,,Indigenous; Endemic
Aizoaceae,Ophthalmophyllum,longum,Synonym,Conophytum longum N.E.Br.,Indigenous
Iridaceae,Moraea,mutila,Accepted,,Indigenous
Athyriaceae,Diplazium,sp.,Genus level,,
Ericaceae,Erica,drakensbergensis,Accepted,,Indigenous
Aizoaceae,Conophytum,graessneri,Synonym,Conophytum saxetanum (N.E.Br.) N.E.Br.,Present
Asteraceae,Marasmodes,undulata,Accepted,,Indigenous; Endemic
Celastraceae,Putterlickia,verrucosa,Accepted,,Indigenous
Bruniaceae,Brunia,compacta,Accepted,,Indigenous; Endemic
Aizoaceae,Gibbaeum,petrense,Accepted,,Indigenous; Endemic
Crassulaceae,Crassula,multiceps,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,vanniekerkiae,Accepted,,Indigenous; Endemic
Rutaceae,Agathosma,longicornu,Accepted,,Indigenous; Endemic
Aizoaceae,Eberlanzia,dichotoma,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,incertus,Accepted,,Indigenous; Endemic
Apocynaceae,Larryleachia,cactiformis,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,sparsiflorum,Synonym,Solanum catombelense Peyr.,Indigenous
Aizoaceae,Chasmatophyllum,nelii,Accepted,,Indigenous; Endemic
Agavaceae,Chlorophytum,lewisiae,Accepted,,Indigenous; Endemic
Hyacinthaceae,Daubenya,comata,Accepted,,Indigenous; Endemic
Juncaceae,Juncus,capitatus,Accepted,,Not indigenous; Naturalised
Fabaceae,Crotalaria,mollis,Synonym,Crotalaria meyeriana Steud.,Indigenous
Hyacinthaceae,Lachenalia,nardousbergensis,Accepted,,Indigenous; Endemic
Sapindaceae,Cardiospermum,alatum,Synonym,Cardiospermum corindum L.,
Fabaceae,Prosopis,glandulosa,Inclusive,,Not indigenous; Naturalised
Campanulaceae,Roella,lightfootioides,Synonym,Roella spicata L.f. var. spicata,Indigenous
Aizoaceae,Glottiphyllum,depressum,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,aquaemontis,Accepted,,Indigenous; Endemic
Ericaceae,Erica,pageana,Accepted,,Indigenous; Endemic
Hyacinthaceae,Fusifilum,papillosum,Synonym,Drimia physodes (Jacq.) Jessop,Indigenous
Ruscaceae,Eriospermum,pubescens,Synonym,Eriospermum pubescens Jacq. ex Ker Gawl.,
Sematophyllaceae,Sematophyllum,subpinnatum,Accepted,,Indigenous
Campanulaceae,Prismatocarpus,schlechteri,Accepted,,Indigenous; Endemic
Cyperaceae,Cyperus,elegantulus,Synonym,Pycreus niger (Ruiz & Pav.) Cufod. subsp. elegantulus (Steud.) Lye,Indigenous
