Family,Genus,Sp1,TaxStat,Accepted,Ecology
Fabaceae,Rhynchosia,harveyi,Accepted,,Indigenous; Endemic
Agapanthaceae,Agapanthus,praecox,Accepted,,Indigenous; Endemic
Lamiaceae,Satureja,imbricata,Synonym,Micromeria imbricata (Forssk.) C.Chr.,Indigenous
Hyacinthaceae,Massonia,villosa,Accepted,,Indigenous; Endemic
Iridaceae,Hesperantha,ciliolata,Synonym,Hesperantha pilosa (L.f.) Ker Gawl. subsp. bracteolata (R.C.Foster) Goldblatt & J.C.Manning,Indigenous; Endemic
Asteraceae,Helichrysopsis,sp.,Genus level,,
Iridaceae,Gladiolus,scabridus,Accepted,,Indigenous
Restionaceae,Anthochortus,crinalis,Accepted,,Indigenous; Endemic
Iridaceae,Nivenia,stokoei,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,angelica,Accepted,,Indigenous; Endemic
Rutaceae,Diosma,bisulca,Synonym,Agathosma bisulca (Thunb.) Bartl. & H.L.Wendl.,Indigenous
Asteraceae,Cadiscus,aquaticus,Synonym,Senecio cadiscus B.Nord. & Pelser,Indigenous; Endemic
Asteraceae,Arctotis,argentea,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthiopsis,tessellata,Synonym,Haworthiopsis tessellata (Haw.) G.D.Rowley var. crousii (M.Hayashi) Gildenh. & Klopper,Indigenous
Aizoaceae,Lampranthus,caespitosus,Accepted,,Indigenous; Endemic
Asteraceae,Nidorella,membranifolia,Synonym,Nidorella microcephala Steetz,Indigenous
Asteraceae,Vernonia,mespilifolia,Synonym,Gymnanthemum capense (A.Spreng.) J.C.Manning & Swelank.,Indigenous
Aizoaceae,Leipoldtia,framesii,Synonym,Leipoldtia laxa L.Bolus,Indigenous
Hyacinthaceae,Lachenalia,nordenstamii,Accepted,,Indigenous
Cyperaceae,Tetraria,cuspidata,Synonym,Schoenus ligulatus (Boeckeler) Kuntze,Indigenous
Ericaceae,Erica,varderi,Accepted,,Indigenous; Endemic
Fabaceae,Dolichos,galpinii,Synonym,Decorsea galpinii (Burtt Davy) Verdc.,Indigenous
Iridaceae,Ixia,conferta,Synonym,Ixia abbreviata Houtt.,Indigenous
Polypodiaceae,Pleopeltis,sp.,Genus level,,
Ericaceae,Erica,leucopelta,Accepted,,Indigenous
Cyperaceae,Schoenoxiphium,perdensum,Synonym,Carex perdensa (Kukkonen) Luceno & Martin-Bravo,Indigenous; Endemic
Poaceae,Aristida,engleri,Inclusive,,Indigenous
Crassulaceae,Crassula,pyramidalis,Accepted,,Indigenous; Endemic
Campanulaceae,Wahlenbergia,tenella,Accepted,,Indigenous; Endemic
Fabaceae,Leobordea,carinata,Accepted,,Indigenous
Asphodelaceae,Haworthia,mirabilis,Inclusive,,Indigenous; Endemic
Thymelaeaceae,Gnidia,burchellii,Synonym,Lasiosiphon burchellii Meisn.,Indigenous
Acanthaceae,Blepharis,grossa,Accepted,,Indigenous
Proteaceae,Serruria,sp.,Genus level,,
Stilbaceae,Stilbe,mucronata,Synonym,Kogelbergia verticillata (Eckl. & Zeyh.) Rourke,Indigenous
Asparagaceae,Protasparagus,mariae,Synonym,Asparagus mariae (Oberm.) Fellingham & N.L.Mey.,Present
Rhachitheciaceae,Rhachithecium,perpusillum,Accepted,,Indigenous
Amaranthaceae,Amaranthus,hybridus,Inclusive,,Not indigenous; Cultivated; Naturalised; Invasive
Malpighiaceae,Triaspis,hypericoides,Accepted,,Indigenous
Ericaceae,Simocheilus,consors,Synonym,Erica globiceps (N.E.Br.) E.G.H.Oliv. subsp. consors (N.E.Br.) E.G.H.Oliv.,Indigenous
Commelinaceae,Commelina,modesta,Accepted,,Indigenous
Euphorbiaceae,Euphorbia,miscella,Synonym,Euphorbia celata R.A.Dyer,Indigenous
Passifloraceae,Paropsia,braunii,Accepted,,Indigenous
